學年度,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
103,30,臺北市,400144,國立臺灣戲曲學院附設高職部,28,41,119,91,0,0,21,122,278,42,109
103,14,臺東縣,140222,國立臺東專科學校附設高職部,40,33,21,11,0,0,36,656,279,124,70
103,1,新北市,10301,國立華僑中學,46,97,4,8,7,22,48,804,892,232,272
103,1,新北市,11301,私立淡江高中,44,69,0,0,9,12,42,804,829,259,311
103,1,新北市,11302,私立康橋高中,23,23,0,0,2,5,18,403,343,92,99
103,1,新北市,11306,私立金陵女中,28,85,2,4,2,20,23,0,1045,0,344
103,1,新北市,11309,財團法人南山高中,97,109,5,5,10,25,44,1220,753,449,277
103,1,新北市,11310,財團法人恆毅高中,48,67,7,7,9,18,23,680,347,226,121
103,1,新北市,11311,私立聖心女中,13,44,2,8,2,13,10,0,447,0,166
103,1,新北市,11312,私立崇義高中,10,0,4,5,2,6,11,144,42,67,22
103,1,新北市,11314,財團法人中華高中,30,16,16,2,8,6,40,1161,343,482,194
103,1,新北市,11315,私立東海高中,46,41,7,4,6,15,56,1562,411,449,153
103,1,新北市,11316,私立格致高中,82,48,7,1,8,14,53,1425,710,603,278
103,1,新北市,11317,私立醒吾高中,30,71,32,15,8,26,57,1115,1268,455,510
103,1,新北市,11318,私立徐匯高中,30,36,2,0,6,8,15,641,0,228,0
103,1,新北市,11322,財團法人崇光女中,17,86,0,0,2,17,18,0,770,0,275
103,1,新北市,11323,私立光仁高中,38,61,7,13,3,13,18,360,400,118,127
103,1,新北市,11324,私立竹林高中,72,79,3,5,4,17,36,731,739,247,247
103,1,新北市,11325,私立及人高中,40,46,2,1,6,16,20,461,308,214,152
103,1,新北市,11329,財團法人辭修高中,40,56,1,3,11,15,17,431,261,149,124
103,1,新北市,11399,私立時雨高中,43,32,2,0,11,17,10,293,164,0,0
103,1,新北市,13303,市立泰山高中,91,63,46,11,14,20,69,1946,676,514,211
103,1,新北市,13304,市立板橋高中,56,86,7,9,4,18,60,1240,1126,405,413
